S/NO,QUESTIONS,OPTION A,OPTION B,OPTION C,OPTION D,OPTION E,CORRECT ANSWER,TOPIC,,,,LEVEL
228,Which of the following is not true about factors of production?,Entrepreneur is the risk-bearer,It regards labour as human resources,Land means natural resources,Capital means the money used to set up business,It is another term for outputs,E,Production,,,,ADVANCE
229,The marginal product of labour is the,Total product less average product,Ratio of change in total product to change in units of labour,Total product divided by labour units used,Total output produced with labour inputs,Value of total output less cost of production,B,Production,,,,ADVANCE
230,The process of making public enterprises financially self-sufficient and self-sustaining is called,Privatization,Commericalization,Liberalization,Deregulation,Nationalization,B,Industrialization,,,,ADVANCE
231,"At the levels of output where the marginal cost is falling, the average cost is",Falling but greater the marginal cost,Fising faster than the marginal costs,Falling but less than marginal cost,Equal to the marginal cost,Rising but less than the marginal cost,A,Theory of cost,,,,ADVANCE
232,The interest paid by a firm on bank loans is an example of a/an,Fixed cost ,Variable cost,Marginal cost,Implicit cost,Opportunity cost,A,Financial institutions,,,,ADVANCE
233,Which of the following is not true of the perfectly competitive firm in the short-run?,Marginal revenue is equal to its price,Average revenue is equal to its price,Demand is perfectly elastic,Marginal cost is equal to its price,Average revenue is equal to its marginal cost,E,Theory of cost and revenue,,,,ADVANCE
234,The money value of goods and services produced within a country plus net factor income from abroad in a given period of time is called,Net National Income,Gross National Product,Gross Domestic Product,Personal income,Real National Product,B,National income,,,,ADVANCE
235,Which of the following is not a use of national income estimates?,To measure the performance of economy over time,Serve as input form national planning,Help in research and development,Measure the level of corruptionin an economy,Measure the sectoral growth of the economy,D,National income,,,,ADVANCE
236,"Given that Y = C+1 where C=100 + 0.75 and 1=90, what is the value of the equilibrium level of national income?",₦ 360,₦ 500,₦ 760,₦ 400,₦ 250,C,National income,,,,ADVANCE
237,Which of the following statement give a description of transaction demand for money?,For day to day expenses,To meet unforeseen expenses,For expected investment opportunity,To finance occasional commitment,To acquire fixed assets only,A,Money,,,,ADVANCE
238,The function of money which eliminates the need for a double coincidence of want is ,Standard of deferred payment,Store of value,Unit of account,Unit of comparison,Medium of exchange,E,Money,,,,ADVANCE
239,Money whose face value is greater than the actual value of the materials of which it is made is called,Legal tender,Flat money,Quasi money,Token money,Near money,D,Money,,,,ADVANCE
240,Which of the following is an expansionary fiscal policy measure?,Increase in excise taxes,Granting subsides to firms,Increase in government expenditure,Allocation of foreign exchange to importers,Selling of government securities,C,Public finance,,,,ADVANCE
241,A government policy instrument for lowering the price of an essential good or service is,Value added taxed,Excise duties,High tariffs,Subsidy,Export duties,D,Public finance,,,,ADVANCE
242,The ratio change in national income to change in government expenditure gives,Average prosperity to consume,Inflationary gap,Government expenditure multiplier,Disposable national income,Net national expenditure,C,National income,,,,ADVANCE
243,"If a country's terms of trade (TOT) exceeds 100, the country is said to record",Trade deficit,Trade surplus,Balance of trade,Favourable TOT,Unfavourable TOT,D,International trade,,,,ADVANCE
244,Which of the following is not a measure to reduce unemployemnt in any developing economy?,Promote importation of good and services,Facilitate acquisition of entrepreneurship skills,Promote geographical mobility of labour,Discourage dumping of foreign goods,Improve provision of infrastructural in the rural areas,A,Unemployment,,,,ADVANCE
245,Which of the following is not an item in the current account component of balance of payment (BOP) statement?,Visible export,Visible import,Direct investment,Unrequited transfer,Services and income,D,International trade,,,,ADVANCE
246,Promotion of global foreign exchange ratre stability is one of the functions of,Multilateral Investment Guarantee Agency (MIGA),International Development Association (IDA),International Finance Corporation (IFC),International Monetary Fund (IMF),Africa Development Bank (ADB),D,International economic organizations,,,,BEGINNER
247,Which of the following is NOT a reason for imposition of tariffs?,Revenue generation,National security,Export stimulation,Protection of infant industries,Protection of domestic labour against cheap foreign labour,E,Public finance/taxation,,,,BEGINNER
248,"Under a flexible exchange rate system, a deficit in a country's balance of payment will be automatically corrected by",Currency appreciation,Currency depreciation,Currency devaluation,Currency revaluation,Currency re-denomination,C,International trade,,,,ADVANCE
249,Unemployment which occurs as a result of permanent decline in the demand for product of a particular industry is called,Structural unemployment,Frictional unemployment,Cyclical unemployment,Seasonal unemployment,Residual unemployment,C,Unemployment,,,,ADVANCE
250,The fundamental economic problem facing any society is that of,Choice,Scarcity,Inflation,Unemployment,Unlimited resources,B,Basic economic problem of the society,,,,ADVANCE
251,Macro economics is concerned with all the following EXCEPT,National Income Accounting,Aggregate Level of Employment,Determination of Consumers Equilibrium,General Price Level,Balance of Payment Equilibrium,C,Basic economic concepts,,,,ADVANCE
252,Abnormal demand curve may result from the following cases EXCEPT,Inferior goods,Goods of ostentation,Fear of future rise in price,Cosnumers rational decision,Consumers ignorance,D,Demand and supply,,,,ADVANCE
253,Which of the following is NOT a cause of increase in supply for a commodity?,A fall in the price of other products,Fall in resource price,Increase in commodity's own price,An improvement in technology,Suppliers expectation of future fall in price,C,Demand and supply,,,,ADVANCE
254,Demand is said to be perfectly inelastic if,Quality demanded does not respond at all to the change in price,Quantity demanded responds slightly to a change in price,Quantity demanded responds proportionally to a change in price,Quantity demanded responds more than the proportionate change in price,Quantity demanded responds infinitely to a change in price,A,Demand and supply,,,,BEGINNER
255,Which of the following illustrates the maximum combination of two goods that a consumer can buy given money income,Indefference Curve,Budget Line,Price Consumption Curve (PCC),Isoquant,Isocost,B,Theory of consumer behaviour,,,,ADVANCE
256,The ratio of total product to number of men employed in a production process gives the,Average vriable product,Marginal product of labour,Avrage product of labour,Fixed product,Physical product,C,Production,,,,ADVANCE
257,Which of the following is a disadvantage of partnership form of business?,Liability of each of the partners is unlimited,Large capital can be raised,Decision-taking is more efficient,The partnership business is more credit worthy,Interest of partners in the business is very high,A,Business organization,,,,ADVANCE
258,The extraction of raw materials from their natural sources for manufacturing activities is classified as,Manufacturing production,Processing activity,Secondary production,Primary production,Tertiary production,D,Production,,,,ADVANCE
259,The physical and mental efforts of man used in production of goods and services defines ,Capital,Entrepreneur,Labour,Land,Management,C,Production,,,,ADVANCE
260,The marginal cost equals the average cost at the,Minimum point of marginal cost,Point where marginal cost is rising,Point where average cost is rising,Minimum point of average cost,Point where average cost is falling,D,Theory of cost,,,,ADVANCE
261,Which of the following market structures is associated with a Kinked demand curve?,Perfect competition,Monopoly,Monopolistic competition,Monopsony,Oligopoly,,Market structure,,,,ADVANCE
262,The following are the problems associated with National Income Computation EXCEPT,Changes in prices level,Depreciation,Double counting,Adequate statistical data,Illegal incomes,D,National income,,,,ADVANCE
263,"In a two-sector National Income Model, the marginal propensity to save (MPS) and the marginal propensity to consume (MPC) is",Zero,Negative,Infinite,One,Positive but less than 1,D,National income,,,,ADVANCE
264,Which of the following concepts explains how changes in investment bring about changes in national income?,The accelerator principle,The consumption function,Multiplier,The production function,The savings function,C,National income,,,,ADVANCE
265,Which of the following is the primary function of a development bank?,Supervision of finance houses,Granting short term loans for the development of private properties,Printing of the country's currency notes and coins,Granting medium and long term loans for visable projects,Accepting deposit from government agencies,D,Financial institution,,,,ADVANCE
266,ONE of the means by which the central bank controls credit availability in the economy is through the use of,Travellers cheque,Reserve requirement,Legal tender,Foreign exchange,Certificate of deposit,B,Financial institution,,,,ADVANCE
267,Creation of money by commercial banks is achieved through,Lending to borrowers,Printing more money,Increasing the cash ratio,Issuing cheques,Withdrawing money from the society,A,Financial institution,,,,ADVANCE
268,Which of the following is the reason why government imposes taxes?,Encourage savings,Make people richer,Discourage infant industry,Finance government activities,Increase imports of certain goods,D,Public finance/taxation,,,,ADVANCE
269,Pay-As-You-Earn (PAYE) tax system is a form of,Indirect tax,Rgressive tax,Progressive tax,Proportionate tax,Lump sum tax,C,Public finance/taxation,,,,ADVANCE
270,A government may finance its deficit through all the following sources EXCEPT,Mortgage Bank,Multilateral creditors,The London Club,The Paris Club,The Capital Market,A,Public finance,,,,ADVANCE
271,Which of the following is NOT a likely source of inflation?,Devaluation of currency,Export promotion strategy,Expectation of future shortage of goods,Increase in the marginal propensity to save,Misallocation of investment,D,Inflation/deflation,,,,ADVANCE
272,The desire to hold money to meet day to day transactions is known as,Transaction motive,Speculative motive,Precautionary motive,Deflationary motive,Inflationary motive,A,Money,,,,ADVANCE
273,The ratio of index of export prices to index of import prices expressed in percentage defines,Balance of trade,Terms of trade,Balance of payment,Comparative advantage,Absolute advantage,B,International trade,,,,ADVANCE
274,The relaxation of all forms of restrictions on free flow of goods and services in international trade is known as,Devaluation,Liberalization,privatization,Indigenization,Commerialization,B,International trade,,,,ADVANCE
275,Which of the following is NOT a component of Balance of Payments Accounts?,Current Accounts,Capital Accounts,Merchandise Accounts,Monetary Movements Accounts,Federation Accounts,E,International trade,,,,ADVANCE
276,An affiliate of the World Bank Group whichg rants loans and equity capital to private enterprises is the,African Development Fund (ADF),European Investment Bank (EIB),International Development Association (IDA),International Finance Corporation (IFC),International Monetary Fund (IMF),D,International economic organizations,,,,ADVANCE
277,An important function of the World Bank is to,Develop the rich member states,Provide long term loans to members,Promote capital-intensive production,Encourage trade among member states,Provide short term loans to members,B,International economic organizations,,,,BEGINNER
278,The price support programme for farmers in the European Union is represented by the acronym,CAP,SDR,GATT,WTO,ECA,A,International economic organizations,,,,BEGINNER
279,A major obstacle to economic development is,Increase in industrial output,Increase in investment and savings,Over dependence on imports,Improvement on research and development activities,Encouragement of free trade,C,Economic development and planning,,,,ADVANCE
280,"The view that eonomics is ""the study of mankind in the ordinary business of life"" belongs to",Alfred Marshall,Lionel Robbins,Adams Smith,Thomas Malthus,James S. Mill,A,Basic economic concepts,,,,ADVANCE
281,Most West African economies can be classified as,Socialist economies,Capitalist economies,Centrally planned economies,mixed economies,Free-market economies,D,Economic development and planning,,,,ADVANCE
282,A shift in the supply curve to the right illustrates,A decrease in supply,A decrease in quantity supplied,A price elastic supply,An increase in supply,A decrease in the own price of the product,D,Demaand and supply,,,,ADVANCE
283,"If the price of a commodity increased by 5% and as a result, the quantity of the commodity demanded decreased by 10%, the price elasticity of demand for the commodity is",½,15,3,2,¼,,Demand and supply,,,,ADVANCE
284,"If supply curve is vertical, the price elasticity of supply is",Zero,Greater than 0 but less than 1,Equal to 1,Greater than 1 but less than infinity,Infinite,A,Demand and supply,,,,ADVANCE
285,The rate at which a consumer can substitute one commodity bundle for another while still deriving the same level of satisfaction is known as,Marginal rate of technical substitution,Elasticity of substitution,Marginal rate of consumption substitution,Return to scale,Marginal physical product,C,Theory of consumer behaviour,,,,ADVANCE
286,Which of the following sources of finance is NOT open to a partnership form of business organization?,Debenture,Trade credit,Retained profit,Overdraft,Capital contribution,A,Business organizations,,,,ADVANCE
287,A market structure characterized by a complete absence of rivalry among the indivudal firms is called,Pure monopoly,Perfect competition,Oligopoly,Duopoly,Monopolistic competition,A,Market structure,,,,ADVANCE
288,Limited Liability Company implies,That a company has limited shares,That a shareholder loses only what he invested at liquidation,The separation of management of company from shareholding,Greater ease in raising funds for company expansion,The ability of a joint stock company to raise funds,C,Business organizations,,,,ADVANCE
289,"Assume that when a product's price is ₦20, quantity demanded is 9 units and when price is ₦19, quantity demanded is 10 units. What is the Marginal Revenue resulting from an increase in quantity demanded from 9 units to 10 units?",1,9,19,10,20,D,Demand and supply,,,,ADVANCE
290,"Given that total cost is the sum of total fixed cost and total variable cost while total revenue is the multiplication of average revenue and quantity, then profit is",Total revenue plus total variable cost,Total revenue minus total fixed cost,Total revenue minus total cost,The ratio of the product of total cost and quantity to average revenue,Total cost minus total revenue,C,Theory of cost and revenue,,,,ADVANCE
291,"A country's gross national product at market price is ₦1,000 million. The depreciation is ₦50 million, indirect taxes are ₦30 million. Subsidies are ₦20 million. So the national income is","₦1,040 million",₦900 million,₦940 million,₦960 million,"₦1,100 million",C,National income,,,,ADVANCE
292,Which item of the following is an example of transfer payment?,Wages and salaries from a foreign firm,Salaries from government,Unemployment benefit allowance,Rent paid by a boarder,Dividend of a shareholder,C,International trade,,,,ADVANCE
293,Which of the following is an injection in the circular flow of income?,Investments on capital goods,Savings ,Imports,Personal taxes,Indirect company taxes,A,National income,,,,ADVANCE
294,The fixed payment accepted by the insurance company from the insured to enable it in return undertake to make payments if certain events occur is called,Dividend,Premium,Profit,Bond,Interest,B,Financial institutions,,,,ADVANCE
295,An expansion of the money supply affects the economy by ,Lowering the interest rate and encouraging investment,Raising the interest rate and encouraging investment,Making rirms more optimistic and encoruaging them to invest,Raising the interest rate and discouraging investment,Lowering the interest rate and discouraging investment,A,Financial institutions,,,,ADVANCE
296,The control of a country's money supply and monetary policy is the primary responsibility of the,Ministry of Finance,Commercial Banks,Development Banks,Monetary Policy Committee,Central Bank,E,Public finance,,,,ADVANCE
297,Tax holidays ar given to firms to enable them to,Give their employees leave and leave allowance,Operate in an unstable economy,Use the holidays to collect taxes,Plan the use of national holidays for extra production,Establish themselves in the early stage of production,E,Public finance/taxation,,,,ADVANCE
298,A situation whereby the government revenue is greater than government expenditure is referred to as,Budget surplus,Budget deficit,Balanced budget,Unfavourable budget,Zero-base budget,A,Public finance,,,,ADVANCE
299,Tax evasion means,Refusal to pay tax,Tax payment accoridng to ability to pay,Paying huge amount of money as tax,Making false declaration of taxable income,Reporting tax defaulters to the government,A,Public finance/taxation,,,,ADVANCE
300,Which ONE of the following is an effect of inflation?,Lenders gain,Price level stabilises,Reduction in price of most items,Borrowers gain,Scarcity of currencies,D,Inflation and deflation,,,,ADVANCE
301,Inflation caused by increase in aggregate demand can be curbed by,Exporting more goods and services,Hoarding of goods,Increasing the level of output,Increasing the level of money supply,Reducing importation,C,Inflation and deflation,,,,ADVANCE
302,Stagflation is a situation where a country experiences,Inflation and poverty at the same time,Inflation and depression at the same time,Overproduction of goods and services,Inflation and overpopulation at the same time,Both inflation and unemployment at the same time,E,Inflation and deflation,,,,ADVANCE
303,Which ONE of the following is NOT an argument in support in trade restricitions?,Protect infant industries,Protect and expand domestic employment,Correct balance of payment deficits,Encoruage trade liberalization,Prevent dumping,D,International trade,,,,ADVANCE
304,Which of the following is applicable to internal trade?,"Same currency, same language, different countries","Long distances, same language, different currencies","Same currency, same trade laws, within a national boundary","Within a national boundary, same trade laws, different currencies",Different tariffs,D,International trade,,,,ADVANCE
305,Terms of trade shows the,Ratio of index of export prices to index of import prices in percentage,Rate at which export exchnage for import,Sum total of price index of export and import,Percentage increase in imports and exports,Rise in price of imports and exports,B,International trade,,,,ADVANCE
306,Organization of Petroleum Exporting Countries (OPEC) has been able to achieve the many results EXCEPT,Regulation of oil prices and thereby maintaing price stability,Participation of its members in oil exploration and exploitation,Bringing together all oil producing countries by providing financial assistance,Protecting member states' interests by providing financial assistance,Adopting uniform policies towards importing nations,C,International economic organization,,,,ADVANCE
307,The goal set out for borrowing nations to qualify for IMF loan are described as,IMF Conditionalities,Special Drawing Rights,IMF Organs,IMF Objectives,IMF Functions,A,International economic organization,,,,ADVANCE
308,Which of the following countries is NOT a member of the Organization of Petroleum Exporting Countries (OPEC)?,Nigeria,Libya,Kuwait,Iran,Togo,E,International economic organization,,,,ADVANCE
309,Which of the following is NOT a contributing factor to economic growth?,An increase in working population,An increase in ageing population,An increase in stock of capital,Discovery of new raw materials,An increase in level of investment,B,Economic development and planning,,,,ADVANCE
310,Economics is a social science which studies how,to redistribute income.,human beings behave.,the market price is fixed.,scarce resources are allocated to satisfy numan wants.,wasteful spending is eliminated.,D,Meaning and basic economic concepts,,,,ADVANCE
311,Scarcity in Economics means,shortage of a commodity.,unlimited demand for consumer goods.,limited supply of goods and services.,total absence of a commodity in the market.,high cost of a commodity.,C,Meaning and basic economic concepts,,,,ADVANCE
312,The decision on what to produce is a problem in ,all economic systems.,a mixed economic system only.,a democratic socialist economy only.,a free enterprise system only.,a planned economic system only.,A,Basic economic problem of the society,,,,ADVANCE
313,The law of demand states that,"as price increases, quantity demanded remains constant.",demand increases as price increases.,"as price falls, quantity demanded also falls.","as price falls, quantity demanded increases.",demand and supply remain constant whether price falls or increases.,D,Demand and supply,,,,ADVANCE
314,Which of the following is an important limiting factor in the application of division of labour?,Market size,Availability of infrastructure,Wage rate,Raw materials ,Availability of land,A,Production,,,,ADVANCE
315,Which of the following factors does not encourage the location of industries?,Nearness to the market,Availability of infrastructural facilities,Government influence in sitting industries,Political instability,Abundance of cheap labour,D,Industrialization,,,,ADVANCE
316,All the underlisted factors directly affect the supply of a commodity EXCEPT,Price,Improved production method,Access to capital,Demand for the commodity,Level of income,E,Demand and supply,,,,ADVANCE
317,Which of the following economic systems is in operation in Nigeria?,Capitalist economy,Socialist cum Marxist economy,Socialist economy,Capitalist and free economy,Mixed economy,E,Basic economic system,,,,ADVANCE
318,Giffen commodities are those commodities,which give rise to a cobweb situation,for which demand increases as price increase,which have a low price elasticity of demand,which are in short supply,which have a high income elasticity of demand,B,Demand and supply,,,,ADVANCE
319,Effective demand in Economics means,the desire for a commodity,a proposal to purchase a good on credit,the desire for a commodity or service backed by purchasing power,an irrevocable instruction to the seller to meet up the needs of the buyers,the propensity to consume goods produced by manufacturers,C,Demand and supply,,,,ADVANCE
320,Government can influence aggregate demand through all the following measures except,reduction in personal income tax.,retirement of directors-general in the public service.,creation of employment opportunities.,compulsory reductions from salaries of all categories of workers.,upward revision of worker's fringe benefits,B,Demand and supply,,,,ADVANCE
321,The term production in Economics means ,Manufacturing of goods,The creation of utilities,Giving birth to children,The distribution of goods and services,Using labour in creating something ,B,Production,,,,ADVANCE
322,"Under the socialist economy, the decision on what to produce is determined by the",Producers,Level of expected profit,Price,Government,Preferences of consumers,D,Basci economic system,,,,BEGINNER
323,Credit creation by banks is limited by ,An increase in bank deposits,The establishment of specialised banks,The non-availability of collateral security,The use of cheques for all transactions of the banks,Abolishing the reserve ratio,C,Financial institutions,,,,ADVANCE
324,Which of the following explains marginal cost?,Overhead costs plus variable costs resulting from production,The average cost of producing more units of the product,The extra cost of producing more units of the product,Overhead cost minus variable costs,The addition to total cost resulting from the production of an additional unit,E,Theory of cost,,,,ADVANCE
325,The effect of an increase in price on the demand for a commodity with elastic demand will be,An increase in the demand for the commodity,A decrease in the demand for the commodity,A further increase in the price of the commodity,Reduction in the number of distributors of the commodity,A general increase in the cost of production,B,Demand and supply,,,,ADVANCE
326,"If AC = Average Cost of Production, FC = Fixed Cost of Production, VC = Variable Cost of Production, and TC = Total Cost of Production, then",VC = TC/FC,VC = FC + AC,VC = TC - AC,VC = TC -FC,VC = TC-FC / VC,D,Theory of cost,,,,ADVANCE
327,"In perfect compeition, the marginal cost curve intersects the average cost curve",from beldow at its lowest point.,from above at its lowest point.,from below before the lowest point.,at the zero point.,from belfow after the lower point.,A,Theory of cost,,,,ADVANCE
328,Which of the following does not require the use of information from census?,Allocating central government revenue among states or regions,Planning for development in the states or regions,Demarcating constitueencies for elections in the states or regions,Providing adequate social amenities and services in the states or regions,Controlling geographical mobility of labour among the states or regions,E,Population,,,,ADVANCE
329,Which of the following is not a function of an insurance company?,Mobilization of funds through premiums collected,Encouragement of savings habit through life assurance,Collection of deposits from the public,Granting of laons on long-terms basis for investment,Encouragement of investment by security of capital,C,Financial institutions,,,,ADVANCE
330,Malthus observed in his theory that population was growing,at a regular rate.,in arithmetical progresssion.,in geometrical progression.,in mathematical progression.,in trigonometrical progression,C,Population,,,,ADVANCE
331,"At optimum population level, a countlry has its",maximum population.,ageing population.,highest birth rate.,highest output per head.,lowest death rate.,D,Population,,,,ADVANCE
332,Which of the following does not give a characteristics of money?,Durable,Portable,Divisible into small units,Generally acceptable,Medium of exchange,E,Money,,,,ADVANCE
333,Which of the following constitutes the major component of money supply in a developed economy?,Demand deposits,Paper money,Bank drafts,Coins,Time deposits,A,Money,,,,ADVANCE
334,A point along a consumer's indifference curve shows,the different commodities he can consume.,a combination of all commodities he is willing to buy.,a combination of two commodities from which he derives the same satisfaction.,the quantities of commodities demanded by him.,the difference between quantity supplied and quantity demanded.,C,Theory of consumer behaviour,,,,ADVANCE
335,"If a monopolist is attempting to maximize profit, which of the following should be attempt to do?",Equate average cost of to average revenue,Equate marginal cost to marginal revenue,Equate marginal cost to average revenue,Fix price and output,Equate price to total cost,B,Market structure,,,,ADVANCE
336,The greatest foreign exchange earner for Nigeria before the advent of petroleum was,mining.,handicraft.,agriculture.,manufacturing.,tourism.,C,International trade,,,,ADVANCE
337,A budget is defined as a,summary of expected expenditure by individuals and governments.,summary of expected income.,record of value of services rendered in a year.,record of goods produced in a year.,summary of expected income and expediture,E,Public finance,,,,ADVANCE
338,The real value of money is,Its face value,What it can buy at a particular time,Irs rate of exchange with other currencies,Its intrinsic worth,Its rate of circulation,B,Money,,,,ADVANCE
339,A tax whose rate increases as income increases is,An indirect tax,A progressive tax,A regressive tax,A direct tax,A proportional tax,B,Public finance/taxation,,,,ADVANCE
340,Which of the following best describes the multiplier?,Product of income and expenditure,Curves of saving and expenditure,Ratio of change in income to the expenditure that brought it about,Constant level of income,Equality of marginal propensities to consume and save,C,National income,,,,ADVANCE
341,Net National Product (NNP) is equal to the,Gross Domestic Product (GDP) less depreciation,Gross National Product (GNP) less depreciation,Gross Domestic Product (GDP) plus depreciation,Gross National Product (GNP) plus depreciation,Gross National Income (GNI) plus taxation,B,National income,,,,ADVANCE
342,Terms of trade simply means the price,ratio of import to export.,ratio of export multiplied by import.,ratio of export to import.,ratio of export multiplied by price ratio of import.,of export minutes price of import.,C,International trade,,,,ADVANCE
343,Balance of trade can be defined as,the value of imports in relation to the value of a country's exports.,the price ration of imports as against that of exports.,equality in the total receipts and payments of a country in a year.,perentage value of imports over percentage value of exports.,prices of exports versus prices of imports,A,International trade,,,,ADVANCE
344,Which of the following is not a feature of a perfect market?,Large number of buyers and sellers,Homogeneity of products ,Preferential treatment,Absence of transport cost,Perfect knowledge of market situation,C,Market structure,,,,ADVANCE
345,Which of the following is not a source of raising funds for a public limited liability company in West Africa?,Bank loans,Issue of shares,Issue of debentures,Ploughing back profits,Sales of bonds,E,Business organizations,,,,BEGINNER
346,Which of the following is not an objective of the Indigenisation Policy in Nigeria?,To make Nigerians dominate their economy.,To increase Nigerian particpation in the economy.,To preventy foreign monopoly of the economy.,To eliminate foreign particpation in the Nigerian economy.,To protect the national interest and security.,D,Industrialization,,,,ADVANCE
347,Where was oil first discovered in commercial quantities in Nigeria?,Olobiri,Warri,Elesa Elemo,Onitsha,Port Harcourt,A,International economic organizations,,,,ADVANCE
348,Which is the headquaters of the Africa Development Bank (ADB) located?,Lome,Adis Ababa,Accra,Lagos,Abidjan,E,International economic organizations,,,,ADVANCE
349,International trade takes place because of differences in,production cost.,language.,government policy.,currency.,international boundary.,A,International trade,,,,ADVANCE
350,The study of Economics enables the individual to,be misserly in the spending of his money.,dervive maximum satisfaction from the money he spends.,determine the right market to visit.,avoid the purchase of luxurious items,derive solutions to all problems,B,Economics meaning and basic concepts,,,,ADVANCE
351,One way of solving the problem of scarcity that faces indivdiuals is for,the government to import goods massively so that the citizens can get all they want.,them to work very hard so that they are able to buy all their wants.,the to choose between alternatives since they cannot meet all their wants.,the government to study people's behaviour in order to know their wants.,them to use their resources as they want.,C,Basic economic concepts,,,,ADVANCE
,,,,,,,,,,,,
352, A review of occupational distribution of population from time to time helps us to know the,A rate at which population grows,number of people that make up  the labour force.,efficiency of the working population,industries which are becoming less important,number of people that are not employed,B,Population,,,,BEGINNER
353,The price of commodity is determined by the,supplier .,consumer,quantity of goods demanded,quantity  of goods supplied,interaction between demand and supply,E,demand and supply,,,,ADVANCE
354,At what price will a trader be ready to sell 6 oranges using the equation below: p = ½q+2. Where p is price and q is quantity?,₦3.00,₦4.00,₦5.00,₦6.00,₦8.00,C,Basic tools for economic analysis,,,,ADVANCE
355,"If the last Naira spent on each commodity by a consumer gave him equal satisfaction, it means the consumer has been aboe to",cut cost.,maximize costs.,increase profits.,maximize utility.,manage scarce resources.,D,Basic tools for economic analysis,,,,ADVANCE
356,Whcih of the following will shift the demand curve for Milo to the right?,An increase in consumer's income,A rise in the price of milo,A tax on cocoa producers,A fall in the quantity demanded of milo,A fall in the price of milo,E,Demand and supply,,,,ADVANCE
357,An exceptional demand is one in which the,supplier sells all that he takes to the market.,consumers do not buy from the market.,quantity demanded falls as prices falls.,purchase of services and not products is considered.,quantity demanded and price move in opposite directions.,C,Demand and supply,,,,ADVANCE
358,"The equilibrium price of mangoes is ₦1.00. If the price falls to 50k, there will be",an excess demand.,an excess supply.,a surplus in the market.,many sellers in the market.,no seller in the market.,A,Demand and supply,,,,ADVANCE
359,The introduction of division of labour in a firm will lead to,a fall in output.,decline in the efficiency of labour.,an increase output.,the separation of ownership from management.,an increase in unit cost.,C,Production,,,,ADVANCE
360,Total cost is the addition of,real cost and money cost.,price and taxes.,fixed cost and variable cost.,average cost and marginal cost.,cost of raw materials and wages.,C,Theory of cost,,,,ADVANCE
361,External economies refers  to the,cost-saving advantages a firm enjoys by being close to otheor firms in the same industry.,disadvantages to a firm that is close to other firms.,economies of large scale production,,,A,Basic economic system,,,,ADVANCE
362,"To the economist, efficiency of resource use means",the maximum use of resources to achieve minimum objective.,the reduction of cost for adequate output.,relating value of input to that of output.,using appropriate rsources for desired wants.,maxiizing outp0ut from a given amount of resources.,E,Basic economics concepts,,,,ADVANCE
363,The shape of the average cost (AC) curve shows that as production increases,total cost decreases.,average cost decreases and then increases.,average cost increases.,marginal cost steadily increases.,total cost remains constant,B,Theory of cost,,,,ADVANCE
364,One of the advantages of localization of industry is that firms,make abnormal profits.,are given tax holidays.,are unified under one management.,pay high wages.,can have a large pool of skilled labour.,E,Industrialization,,,,ADVANCE
365,Which of the following is NOT a type of industry?,Export,Construction,Mining,Manufacturing ,Transport ,A,Industrialization,,,,ADVANCE
366,In a Joint-Stock Company shareholders are the,owners.,managers.,chief executives.,company advisers.,day-to-day decision makers.,A,Business organization,,,,ADVANCE
367,The distribution of goods by the price system is distorted when,there is a high degree of competition among producers.,producers and consumers operate freely.,factors of production are mobile.,no allowance is made for social costs and social benefits.,there is price control measure in the system.,E,Price system,,,,ADVANCE
368,An appropriate industrialization strategy in an under-populated country is,import substitution.,capital intensive.,the contract method.,the use .of foreigners in factories,labour intensive.,B,Industrialization,,,,ADVANCE
369,The power of trade unions may be weakened when there is,optimum population.,a weak government in power.,over-population.,a civilian government in power.,under-population.,C,Trade unions,,,,ADVANCE
370,Malthus' major contention is that,population increased in arithmetic progression while food production increased in geometric progression.,population increased in geometric progression while food production increased in arithmetic progression.,"population and food growth rate will, in future be at par  ",have to get enough manpower to cultivate available land for food.,output from agriculture decreases more and more of the poorer lands were brought into cultivation.,B,Population,,,,ADVANCE
371,The problem of small market in West Africa can be solved through,separate planning among the West African countries.,meaningful co-operation among the West African countries.,political stability in West Africa.,imposition of high tariffs on West African exports.,the central banks of West African countries.,C,Economic development and planning,,,,ADVANCE
372,An inperfect competitor is in equlibrium when,Marginal Cost (MC) is equal to Marginal Revenue (MR).,Marginal Revenue (MR) is equal to Price (P).,Average Revenue (AR) is equal to Average Cost (AC).,Output (Q) is equal to Average Revenue (AR).,Average Revenue (AR) is equal to Marginal Revenue (MR).,A,Market structure,,,,ADVANCE
373,Which of the following is used to measure inflation?,Open market operation,Cash-Deposit ratio,Price index,Multiplier,Fiscal policy ,C,Inflation and deflation,,,,ADVANCE
374,"If a government which owed a company ₦10,000 in 1976 paid the debt fully in 1985 when the value of money had depreciated by 20 percent, such a government had",lost.,been placed at par with the company.,gained.,stabilized the value of the money.,increased the value of the money.,C,Public finance,,,,ADVANCE
375,Banks create money by,giving dtafts to customers.,printing more money.,lending out deposits to borrowers. ,issuing cheques.,depositing excess cash in the tills.,C,Financial institutions,,,,ADVANCE
376,The West African Clearing House  was established to ,finance development projects in Africa.,exchange financial transcation among member countries.,provide technical assistance to member countries.,stabillized price in the developing countries.,service the debts of the African countries.,B,Financial institutions,,,,ADVANCE
377,Which of the following is a factor affecting the size of national income?,Size of the active population,Taste the consumers,Number of registered trade unions,Credit-worthiness of the neighbouring countries,Regularity of payment of national debt,A,National income,,,,ADVANCE
